year,inflation
1990,NA
1991,3.264094955489605
1992,2.298850574712663
1993,2.106741573033699
1994,1.6506189821182904
1995,1.8944519621109546
1996,1.9920318725099584
1997,1.171875
1998,0.6435006435006496
1999,0.5115089514066362
2000,1.6539440203562572
2001,1.6270337922402955
2002,1.9704433497536922
2003,2.0531400966183666
2004,2.130177514792897
2005,1.853997682502917
2006,1.626848691695093
2007,1.4888615246837489
2008,2.8127068166776903
2009,0.08582770089047287
2010,1.5221352770929286
2011,2.1117094287826044
2012,1.9542963499121102
2013,0.8722109533468636
2014,0.5027146591594533
2015,0.04001600640257674
2016,0.18000000000000238
2017,1.0381313635456024
2018,1.847460976091675
2019,1.1058298574061487
2020,0.47970833733090856
2021,1.6423183424042698
2022,5.223109441052132
2023,4.8745647710025874
2024,2.000510768706909
2025,0.9430812885995676
